ID,Name,Exercise type,BodyPart,Equipment,Gender,Target,ILID,Synergist
105912,Standing Quadriceps Stretch,Stretching,Thighs,Body weight,Male,Quadriceps,0697,
106012,Barbell Hip Thrust,Strength,Hips,Barbell,Male,Gluteus Maximus,0698,"Hamstrings, Quadriceps"
106112,Barbell one leg hip thrust,Strength,Hips,Barbell,Male,Gluteus Maximus,0699,"Hamstrings, Quadriceps"
106312,Barbell sumo squat,Strength,Thighs,Barbell,Male,"Gluteus Maximus, Quadriceps",0700,"Adductor Brevis, Adductor Longus, Adductor Magnus, Gastrocnemius, Gracilis, Soleus"
106412,Sumo Squat (male),Strength,"Hips, Thighs",Body weight,Male,"Gluteus Maximus, Quadriceps",0701,"Adductor Brevis, Adductor Longus, Adductor Magnus, Gastrocnemius, Gracilis, Soleus"
106512,Lying Hip Lift (on stability ball) (male),Strength,Hips,Stability ball,Male,Gluteus Maximus,0702,Hamstrings
106612,Cable Standing Chest Press,Strength,Chest,Cable,Female,Pectoralis Major Sternal Head,0703,"Deltoid Anterior, Pectoralis Major Clavicular Head, Triceps Brachii"
106712,Cable straight arm pulldown (VERSION 2) (female),Strength,Back,Cable,Female,Latissimus Dorsi,0704,"Deltoid Posterior, Levator Scapulae, Pectoralis Major Sternal Head, Teres Major"
106812,Cable kickback (VERSION 2) (female),Strength,Upper Arms,Cable,Female,Triceps Brachii,0705,
107012,Suspender Arm Curl (female),Strength,Upper Arms,Suspension,Female,Brachialis,0706,"Biceps Brachii, Brachioradialis"
107112,Suspender Bent knee Inverted Row (female),Strength,Back,Suspension,Female,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers",0707,"Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head"
107212,Suspender Chest Dip (female),Strength,Chest,Suspension,Female,Pectoralis Major Sternal Head,0708,"Deltoid Anterior, Latissimus Dorsi, Levator Scapulae, Pectoralis Major Clavicular Head, Triceps Brachii"
107312,Suspender Chest Press (female),Strength,Chest,Suspension,Female,,0709,
107412,Suspension Fly,Strength,Chest,Suspension,Female,Pectoralis Major Sternal Head,0710,"Biceps Brachii, Deltoid Anterior, Pectoralis Major Clavicular Head"
107512,Suspender Front Raise (female),Strength,Shoulders,Suspension,Female,Deltoid Anterior,0711,"Deltoid Lateral, Pectoralis Major Clavicular Head, Serratus Anterior"
107612,Suspender Hamstring Runner (female),Strength,Thighs,Suspension,Female,,0712,
107712,Suspender Hip Abduction (female),Strength,Hips,Suspension,Female,"Gluteus Medius, Tensor Fasciae Latae",0713,
107812,Suspender Hip Bridge (female),Strength,Hips,Suspension,Female,Gluteus Maximus,0714,"Gastrocnemius, Hamstrings"
108012,Suspender Inverted Row (female),Strength,Back,Suspension,Female,"Infraspinatus, Latissimus Dorsi, Teres Major, Teres Minor , Trapezius Lower Fibers, Trapezius Middle Fibers",0715,"Brachialis, Brachioradialis, Deltoid Posterior, Pectoralis Major Sternal Head"
108112,Suspender Jack knife Pike (female),Strength,Waist,Suspension,Female,,0716,
108212,Suspender Jack knife (female),Strength,Waist,Suspension,Female,,0717,
108312,Suspender Leg Curl (female),Strength,Thighs,Suspension,Female,Hamstrings,0718,Gastrocnemius
108412,Suspender Mountain Climber (female),Strength,Hips,Suspension,Female,Iliopsoas,0719,"Adductor Brevis, Adductor Longus, Pectineous, Sartorius, Tensor Fasciae Latae"
